INSERT INTO dados_agregador (IPWavy, WavyProcessamento, Temperatura, Velocidade_Ondas, Altura_Ondas, Profundidade, Data_dados, Estado) VALUES
('192.168.1.10', 'Ficheiro_TXT', 25.4, 22.1, 7.5, 3450.0, '15/1/2024', 'Operação'),
('10.0.0.5', 'Manipulação_Strings', 18.7, 15.3, 3.2, 120.5, '2/2/2024', 'Manutenção'),
('172.16.0.1', 'JSON FILE', 30.1, 28.9, 11.8, 5800.2, '20/3/2024', 'Associada'),
('192.168.2.20', 'Ficheiro_CSV', 12.3, 11.5, 1.9, 50.8, '5/4/2024', 'Desativada'),
('10.0.0.15', 'Ficheiro_TXT', 5.9, 19.8, 6.1, 2100.0, '10/5/2024', 'Operação'),
('192.168.1.11', 'Manipulação_Strings', 28.0, 25.0, 9.0, 4500.0, '1/6/2024', 'Manutenção'),
('172.16.0.2', 'JSON FILE', 8.2, 12.0, 2.5, 80.0, '12/7/2024', 'Associada'),
('10.0.0.25', 'Ficheiro_CSV', 22.5, 17.5, 4.8, 700.0, '25/8/2024', 'Desativada'),
('192.168.2.21', 'Ficheiro_TXT', 15.0, 20.0, 7.0, 1500.0, '3/9/2024', 'Operação'),
('172.16.0.3', 'Manipulação_Strings', 3.5, 10.0, 1.0, 10.0, '18/10/2024', 'Manutenção'),
('192.168.1.12', 'JSON FILE', 19.5, 23.0, 8.5, 3800.0, '6/11/2024', 'Associada'),
('10.0.0.35', 'Ficheiro_CSV', 10.0, 14.0, 3.0, 250.0, '9/12/2024', 'Desativada'),
('172.16.0.4', 'Ficheiro_TXT', 27.0, 26.0, 10.0, 5200.0, '14/1/2025', 'Operação'),
('192.168.2.22', 'Manipulação_Strings', 7.0, 13.0, 2.0, 60.0, '21/2/2025', 'Manutenção'),
('10.0.0.45', 'JSON FILE', 31.0, 29.0, 11.0, 5900.0, '3/3/2025', 'Associada'),
('192.168.1.13', 'Ficheiro_CSV', 14.2, 16.5, 4.0, 900.0, '17/4/2025', 'Desativada'),
('172.16.0.5', 'Ficheiro_TXT', 26.3, 24.5, 9.5, 4100.0, '28/5/2025', 'Operação'),
('10.0.0.55', 'Manipulação_Strings', 9.8, 11.2, 2.8, 150.0, '7/6/2025', 'Manutenção'),
('192.168.2.23', 'JSON FILE', 20.0, 18.0, 5.0, 2000.0, '19/7/2025', 'Associada'),
('172.16.0.6', 'Ficheiro_CSV', 4.5, 10.5, 1.5, 20.0, '2/8/2025', 'Desativada'),
('192.168.1.14', 'Ficheiro_TXT', 29.0, 27.0, 10.5, 5000.0, '11/9/2025', 'Operação'),
('10.0.0.65', 'Manipulação_Strings', 11.0, 15.0, 3.5, 300.0, '23/10/2025', 'Manutenção'),
('172.16.0.7', 'JSON FILE', 23.0, 21.0, 8.0, 3000.0, '5/11/2025', 'Associada'),
('192.168.2.24', 'Ficheiro_CSV', 6.0, 12.5, 2.2, 75.0, '16/12/2025', 'Desativada'),
('10.0.0.75', 'Ficheiro_TXT', 32.0, 30.0, 12.0, 6000.0, '29/1/2026', 'Operação'),
('192.168.1.15', 'Manipulação_Strings', 17.0, 19.0, 6.0, 1800.0, '10/2/2026', 'Manutenção'),
('172.16.0.8', 'JSON FILE', 21.0, 20.0, 7.0, 2500.0, '22/3/2026', 'Associada'),
('10.0.0.85', 'Ficheiro_CSV', 8.5, 14.5, 3.0, 100.0, '4/4/2026', 'Desativada'),
('192.168.2.25', 'Ficheiro_TXT', 24.0, 23.5, 9.0, 4000.0, '15/5/2026', 'Operação'),
('172.16.0.9', 'Manipulação_Strings', 0.5, 10.1, 1.1, 5.0, '27/6/2026', 'Manutenção'),
('192.168.1.16', 'JSON FILE', 16.0, 18.0, 5.5, 1200.0, '8/7/2026', 'Associada'),
('10.0.0.95', 'Ficheiro_CSV', 29.5, 27.5, 10.8, 5500.0, '20/8/2026', 'Desativada'),
('172.16.0.10', 'Ficheiro_TXT', 7.5, 13.5, 2.7, 90.0, '1/9/2026', 'Operação'),
('192.168.2.26', 'Manipulação_Strings', 13.0, 16.0, 4.2, 750.0, '14/10/2026', 'Manutenção'),
('10.0.0.105', 'JSON FILE', 3.0, 11.0, 1.3, 15.0, '25/11/2026', 'Associada'),
('192.168.1.17', 'Ficheiro_CSV', 28.5, 26.5, 9.8, 4800.0, '6/12/2026', 'Desativada'),
('172.16.0.11', 'Ficheiro_TXT', 11.5, 15.5, 3.7, 400.0, '18/1/2027', 'Operação'),
('10.0.0.115', 'Manipulação_Strings', 25.0, 22.0, 8.2, 3600.0, '2/2/2027', 'Manutenção'),
('192.168.2.27', 'JSON FILE', 18.5, 20.5, 6.5, 2200.0, '13/3/2027', 'Associada'),
('172.16.0.12', 'Ficheiro_CSV', 1.0, 10.2, 1.0, 2.0, '24/4/2027', 'Desativada'),
('192.168.1.18', 'Ficheiro_TXT', 30.5, 28.0, 11.5, 5700.0, '7/5/2027', 'Operação'),
('10.0.0.125', 'Manipulação_Strings', 9.0, 14.0, 2.9, 130.0, '19/6/2027', 'Manutenção'),
('172.16.0.13', 'JSON FILE', 22.0, 20.0, 7.0, 2900.0, '30/7/2027', 'Associada'),
('192.168.2.28', 'Ficheiro_CSV', 5.0, 11.7, 1.7, 45.0, '11/8/2027', 'Desativada'),
('10.0.0.135', 'Ficheiro_TXT', 31.5, 29.5, 11.9, 5950.0, '23/9/2027', 'Operação'),
('192.168.1.19', 'Manipulação_Strings', 15.5, 17.5, 4.5, 1000.0, '4/10/2027', 'Manutenção'),
('172.16.0.14', 'JSON FILE', 27.5, 25.5, 10.0, 4300.0, '16/11/2027', 'Associada'),
('10.0.0.145', 'Ficheiro_CSV', 10.5, 12.8, 3.1, 200.0, '28/12/2027', 'Desativada'),
('192.168.2.29', 'Ficheiro_TXT', 19.0, 18.0, 5.8, 1700.0, '9/1/2028', 'Operação'),
('172.16.0.15', 'Manipulação_Strings', 2.0, 10.3, 1.2, 8.0, '21/2/2028', 'Manutenção');
